type,count,ms,s
Multi Thread For,500,26.546679,0.026546679
Multi Thread For,1000,41.034211,0.041034211
Multi Thread For,2500,100.391614,0.100391614
Multi Thread For,5000,199.065613,0.199065613
Multi Thread For,10000,403.042838,0.403042838
Multi Thread For,25000,986.126865,0.986126865
Multi Thread For,50000,2244.253261,2.244253261
Multi Thread For,100000,5404.792477,5.404792477
Multi Thread For,250000,61318.188665,61.318188665
Multi Thread For,500000,289039.915956,289.039915956
Multi Thread Quad,500,6.382928,0.006382928
Multi Thread Quad,1000,5.715918,0.005715918
Multi Thread Quad,2500,14.125886,0.014125886
Multi Thread Quad,5000,6.158012,0.006158012
Multi Thread Quad,10000,6.452532,0.006452532
Multi Thread Quad,25000,50.006327,0.050006327
Multi Thread Quad,50000,98.939329,0.098939329
Multi Thread Quad,100000,327.102699,0.327102699
Multi Thread Quad,250000,767.424496,0.767424496
Multi Thread Quad,500000,993.851247,0.993851247
Multi Thread Quad,1000000,3158.990186,3.158990186
Nested Parallel Thread Stream,500,16.697498,0.016697498
Nested Parallel Thread Stream,1000,15.866751,0.015866751
Nested Parallel Thread Stream,2500,8.958259,0.008958259
Nested Parallel Thread Stream,5000,30.406526,0.030406526
Nested Parallel Thread Stream,10000,91.719139,0.091719139
Nested Parallel Thread Stream,25000,772.114706,0.772114706
Nested Parallel Thread Stream,50000,2856.412645,2.856412645
Nested Parallel Thread Stream,100000,11292.072171,11.292072171
Nested Parallel Thread Stream,250000,174901.654691,174.901654691
Nested Parallel Thread Stream,500000,445550.133971,445.550133971
Parallel Thread Stream,500,9.318974,0.009318974
Parallel Thread Stream,1000,1.361657,0.001361657
Parallel Thread Stream,2500,6.805559,0.006805559
Parallel Thread Stream,5000,26.255306,0.026255306
Parallel Thread Stream,10000,103.884022,0.103884022
Parallel Thread Stream,25000,705.505974,0.705505974
Parallel Thread Stream,50000,2436.872488,2.436872488
Parallel Thread Stream,100000,9075.782338,9.075782338
Parallel Thread Stream,250000,138273.792955,138.273792955
Parallel Thread Stream,500000,478613.650292,478.613650292
Single Thread For,500,7.319095,0.007319095
Single Thread For,1000,10.965958,0.010965958
Single Thread For,2500,18.871175,0.018871175
Single Thread For,5000,63.919902,0.063919902
Single Thread For,10000,264.186306,0.264186306
Single Thread For,25000,1593.518811,1.593518811
Single Thread For,50000,13963.883334,13.963883334
Single Thread For,100000,29391.843612,29.391843612
Single Thread For,250000,410170.442055,410.170442055
Single Thread Quad,500,1.763408,0.001763408
Single Thread Quad,1000,4.950798,0.004950798
Single Thread Quad,2500,8.092498,0.008092498
Single Thread Quad,5000,14.712355,0.014712355
Single Thread Quad,10000,37.442799,0.037442799
Single Thread Quad,25000,416.979535,0.416979535
Single Thread Quad,50000,991.63556,0.99163556
Single Thread Quad,100000,3888.329333,3.888329333
Single Thread Quad,250000,25815.489269,25.815489269
Single Thread Quad,500000,160652.777064,160.652777064
Single Thread Stream,500,6.156032,0.006156032
Single Thread Stream,1000,8.503037,0.008503037
Single Thread Stream,2500,48.736426,0.048736426
Single Thread Stream,5000,194.951694,0.194951694
Single Thread Stream,10000,735.405421,0.735405421
Single Thread Stream,25000,5412.55276,5.41255276
Single Thread Stream,50000,19447.458692,19.447458692
Single Thread Stream,100000,76154.053893,76.154053893
